"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume","sale.dollars.capita","sale.volume.capita"
"82","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Rum",317573,23389,12.8764951546852,0.948343672708105
"83","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Whisky",665938,47591,27.0015002230061,1.92965170498317
"84","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Schnapps",93232,7445,3.78023760288692,0.301869196772493
"85","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Tequila",81558,5547,3.30689697117139,0.224911811215181
"86","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Brandy",40976,3437,1.6614361594291,0.139358553298463
"87","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Vodka",357142,34371,14.4808822933139,1.39362607955237
"88","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Amaretto",6463,663,0.262052467258647,0.0268823744070064
"89","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Distilled Spirits",7044,447,0.285610023111544,0.0181243157766695
"90","Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Gin",37452,2914,1.51855005473787,0.118152698374083
"91","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Vodka",196392,19334,9.33821501592887,0.919309590604346
"92","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Gin",15637,1335,0.743521468308687,0.0634777233607532
"93","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Rum",154716,11193,7.35656887451857,0.532214350244877
"94","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Tequila",71130,5749,3.38215015928867,0.273358375731064
"95","Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Misc",84207,5055,4.00394655508535,0.240359469354762
