"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"803",52201,NA,1306,NA
"804",52203,NA,1733,NA
"805",52209,NA,1271,NA
"806",52210,NA,656,NA
"807",52212,NA,180,NA
"808",52215,NA,650,NA
"809",52216,NA,1536,NA
"810",52217,NA,523,NA
"811",52218,NA,1855,NA
"812",52219,NA,184,NA
"813",52220,NA,375,NA
"814",52221,NA,218,NA
"815",52222,NA,591,NA
"816",52225,NA,318,NA
"817",52229,NA,801,NA
"818",52231,NA,232,NA
"819",52232,NA,179,NA
"820",52235,NA,730,NA
"821",52236,NA,771,NA
"822",52237,NA,1482,NA
"823",52242,NA,1729,NA
"824",52247,NA,6129,NA
"825",52249,NA,1052,NA
"826",52251,NA,633,NA
"827",52255,NA,1338,NA
"828",52257,NA,273,NA
"829",52305,NA,569,NA
"830",52307,NA,78,NA
"831",52308,NA,133,NA
"832",52309,NA,460,NA
"833",52312,NA,128,NA
"834",52313,NA,352,NA
"835",52315,NA,1208,NA
"836",52318,NA,802,NA
"837",52320,NA,1166,NA
"838",52321,NA,523,NA
"839",52322,NA,2718,NA
"840",52323,NA,918,NA
"841",52325,NA,864,NA
"842",52326,NA,473,NA
"843",52329,NA,898,NA
"844",52330,NA,841,NA
"845",52334,NA,176,NA
"846",52335,NA,644,NA
"847",52339,NA,4422,NA
"848",52341,NA,923,NA
"849",52348,NA,70,NA
"850",52354,NA,345,NA
"851",52355,NA,325,NA
"852",52359,NA,281,NA
"853",52362,NA,879,NA
"854",52530,NA,907,NA
"855",52533,NA,1644,NA
"856",52534,NA,272,NA
"857",52535,NA,1034,NA
"858",52536,NA,1068,NA
"859",52540,NA,1271,NA
"860",52542,NA,541,NA
"861",52543,NA,392,NA
"862",52548,NA,97,NA
"863",52549,NA,791,NA
"864",52550,NA,391,NA
"865",52551,NA,426,NA
"866",52552,NA,839,NA
"867",52555,NA,357,NA
"868",52557,NA,82,NA
"869",52560,NA,534,NA
"870",52561,NA,989,NA
"871",52563,NA,1548,NA
"872",52566,NA,179,NA
"873",52567,NA,782,NA
"874",52569,NA,579,NA
"875",52570,NA,924,NA
"876",52572,NA,1179,NA
"877",52573,NA,80,NA
"878",52574,NA,762,NA
"879",52576,NA,488,NA
"880",52580,NA,499,NA
"881",52581,NA,330,NA
"882",52583,NA,194,NA
"883",52584,NA,484,NA
"884",52585,NA,975,NA
"885",52586,NA,371,NA
"886",52588,NA,29,NA
"887",52593,NA,113,NA
"888",52594,NA,384,NA
"889",52595,NA,482,NA
"890",52619,NA,597,NA
"891",52620,NA,799,NA
"892",52621,NA,588,NA
"893",52624,NA,194,NA
"894",52630,NA,456,NA
"895",52635,NA,762,NA
"896",52638,NA,592,NA
"897",52640,NA,1511,NA
"898",52644,NA,324,NA
"899",52645,NA,3304,NA
"900",52646,NA,379,NA
"901",52647,NA,197,NA
"902",52649,NA,933,NA
"903",52650,NA,805,NA
"904",52651,NA,695,NA
"905",52654,NA,1557,NA
"906",52657,NA,73,NA
"907",52658,NA,788,NA
"908",52659,NA,1560,NA
"909",52660,NA,171,NA
"910",52701,NA,113,NA
"911",52720,NA,940,NA
"912",52721,NA,689,NA
"913",52727,NA,239,NA
"914",52729,NA,873,NA
"915",52731,NA,898,NA
"916",52737,NA,445,NA
"917",52739,NA,796,NA
"918",52745,NA,634,NA
"919",52746,NA,869,NA
"920",52749,NA,1164,NA
"921",52750,NA,621,NA
"922",52752,NA,449,NA
"923",52754,NA,1374,NA
"924",52755,NA,2037,NA
"925",52756,NA,2068,NA
"926",52757,NA,203,NA
"927",52758,NA,189,NA
"928",52760,NA,358,NA
"929",52765,NA,418,NA
"930",52766,NA,957,NA
"931",52767,NA,169,NA
"932",52769,NA,656,NA
"933",52773,NA,2046,NA
"934",52774,NA,119,NA
"935",56027,NA,872,NA
"936",56121,NA,617,NA
"937",56168,NA,820,NA
