"","zipcode","sum.sale.dollars.","population","perCapitaSales"
"52",50160,11368,452,25.1504424778761
"53",50161,31442,1738,18.0909090909091
"54",50162,8616,1297,6.64302235929067
"55",50163,126549,723,175.033195020747
"56",50169,5058,3259,1.55200981896287
"57",50170,61108,2623,23.2969881814716
"58",50171,234189,2753,85.0668361787141
"59",50174,1572,1403,1.12045616535994
"60",50201,407842,8432,48.3683586337761
"61",50207,14368,2466,5.8264395782644
"62",50208,1450338,20545,70.5932343635921
"63",50210,31585,1633,19.3417023882425
"64",50211,453957,12282,36.9611626770884
"65",50212,77266,3194,24.1909830932999
"66",50213,564496,6877,82.0846299258397
"67",50216,172305,2548,67.6236263736264
"68",50219,868679,13802,62.9386320823069
"69",50220,528510,9140,57.8238512035011
"70",50225,62987,2895,21.7571675302245
"71",50226,190399,5919,32.1674269302247
"72",50228,22182,2673,8.29854096520763
"73",50237,4273,3413,1.25197773220041
"74",50240,18797,2875,6.53808695652174
"75",50244,43410,1923,22.5741029641186
"76",50247,51555,2199,23.4447476125512
"77",50248,157223,4506,34.8919218819352
"78",50249,42077,1154,36.4618717504333
"79",50250,171325,2349,72.9352916134525
"80",50251,14403,1322,10.8948562783661
"81",50261,18148,2487,7.29714515480499
"82",50263,1203589,20205,59.568869091809
"83",50265,3908823,31754,123.097027146186
"84",50266,5930103,27651,214.462514918086
"85",50273,576401,8342,69.0962598897147
"86",50276,28494,3151,9.04284354173278
"87",50309,263080,5912,44.4993234100135
"88",50310,1956256,32300,60.5652012383901
"89",50311,5849136,15460,378.339974126779
"90",50312,1326605,15713,84.4272258639343
"91",50313,544032,18300,29.7285245901639
"92",50314,9584716,12102,791.994381094034
"93",50315,2522795,35577,70.9108412738567
"94",50316,1285334,17443,73.6876684056642
"95",50317,3432596,37148,92.4032518574351
"96",50320,9539119,21603,441.564551219738
"97",50321,1591232,9007,176.666148551127
"98",50322,2869344,31168,92.0605749486653
"99",50323,83314,12678,6.5715412525635
"100",50324,58978,4980,11.8429718875502
"101",50325,732924,16937,43.2735431304245
"102",50327,176469,11156,15.8183040516314
"103",50401,3752779,29216,128.44944550931
"104",50421,258406,3336,77.4598321342926
"105",50423,113067,2789,40.540337038365
"106",50424,60520,1414,42.8005657708628
"107",50428,1638256,9424,173.838709677419
"108",50430,11037,440,25.0840909090909
"109",50435,136368,702,194.25641025641
"110",50436,516359,5984,86.2899398395722
"111",50438,155221,3964,39.1576690211907
"112",50441,452687,5537,81.756727469749
"113",50450,111630,2646,42.18820861678
"114",50452,8285,810,10.2283950617284
"115",50456,10904,1888,5.77542372881356
"116",50458,26940,2102,12.8163653663178
"117",50459,207552,2683,77.3581811405143
"118",50461,243742,5684,42.8821252638987
"119",50466,27143,1723,15.7533372025537
"120",50469,91209,1612,56.5812655086849
"121",50472,164320,2216,74.1516245487365
"122",50475,24107,1885,12.7888594164456
"123",50483,226448,647,349.996908809892
"124",50501,3256355,28015,116.236123505265
"125",50510,1710,1004,1.70318725099602
"126",50511,948866,7184,132.080456570156
"127",50514,46065,1427,32.281009110021
"128",50517,302605,983,307.838250254323
"129",50525,136425,3455,39.4862518089725
"130",50529,12760,707,18.048090523338
"131",50530,58313,1223,47.6802943581357
"132",50533,249204,3885,64.1451737451738
"133",50535,19451,944,20.6048728813559
"134",50536,544170,4557,119.414088215932
"135",50540,14929,798,18.7080200501253
"136",50541,19495,890,21.9044943820225
"137",50542,20179,862,23.4095127610209
"138",50543,86254,1458,59.159122085048
"139",50548,591971,5659,104.606997702774
"140",50554,116221,1578,73.6508238276299
"141",50563,132118,2546,51.8923802042419
"142",50569,15996,662,24.1631419939577
"143",50574,176254,2033,86.6965076242007
"144",50575,4718,1170,4.03247863247863
"145",50579,78560,2779,28.2691615689097
"146",50581,21697,952,22.7909663865546
"147",50583,305805,2878,106.256080611536
"148",50585,84300,1152,73.1770833333333
"149",50588,1595214,12810,124.528805620609
"150",50590,47254,920,51.3630434782609
"151",50595,684628,9125,75.0277260273973
"152",50597,124798,1231,101.379366368806
"153",50598,13344,826,16.1549636803874
"154",50601,58058,2375,24.4454736842105
"155",50602,75212,1684,44.6627078384798
"156",50603,5695,662,8.60271903323263
"157",50606,28878,846,34.1347517730496
"158",50613,4943947,43930,112.541475073981
"159",50616,927546,10399,89.1956918934513
"160",50619,40626,2246,18.0881567230632
"161",50621,51340,1563,32.8470889315419
"162",50622,89409,3439,25.9985460889794
"163",50627,246243,3327,74.0135256988278
"164",50628,75488,1346,56.0832095096582
"165",50629,52734,2031,25.9645494830133
"166",50630,37597,2067,18.1891630382196
"167",50634,2150,745,2.88590604026846
"168",50635,33860,1706,19.8475967174678
"169",50636,35772,1757,20.3597040409789
"170",50638,192323,3236,59.4323238566131
"171",50641,25351,1879,13.4917509313465
"172",50643,31974,2573,12.4267392149242
"173",50644,776095,8828,87.9128908019937
"174",50648,80854,4599,17.5807784300935
"175",50651,123256,3626,33.992277992278
"176",50658,37382,2371,15.7663433150569
"177",50659,211195,5399,39.117429153547
"178",50662,673146,6911,97.4021125741571
"179",50665,108863,3002,36.263491005996
"180",50667,23165,829,27.9433051869723
"181",50669,34098,2593,13.1500192826842
"182",50674,90649,3666,24.7269503546099
"183",50675,95442,2381,40.0848383032339
"184",50676,186465,2182,85.4560036663611
"185",50677,1378148,12078,114.103990726942
"186",50680,18058,1357,13.30729550479
"187",50682,71166,1745,40.7828080229226
"188",50701,2277325,30231,75.3307862789851
"189",50702,4014593,20210,198.64388916378
"190",50703,3339278,19200,173.920729166667
"191",50707,533759,8648,61.720513413506
"192",50801,887090,9612,92.2898460258011
"193",50830,31999,1749,18.2955974842767
"194",50833,59589,2259,26.3784860557769
"195",50841,179649,2659,67.5626175253855
