category,Table Name,zipcode,bachelor,high.school,income,pop.asian,pop.black,pop.hawai,pop.indian,pop.multi,pop.other,pop.white,population,sale.dollars,sale.volume,unemployment
,project.acs.zipcodes.csv,50058,19.4,93.1,31714,0,0,0,9,14,0,2084,2107,,,3.1
,project.acs.zipcodes.csv,50060,14,89.1,30000,4,18,0,12,2,0,2476,2512,,,3.4
,project.acs.zipcodes.csv,50061,51.9,98.5,60156,30,0,0,0,7,0,1562,1599,,,1.5
,project.acs.zipcodes.csv,50062,19.6,91.1,27981,0,0,0,0,7,0,670,677,,,13
,project.acs.zipcodes.csv,50063,30.5,97.6,37099,3,0,0,2,2,0,2727,2734,,,2.3
,project.acs.zipcodes.csv,50064,14,91.9,21058,0,0,0,0,0,0,122,122,,,4.2
,project.acs.zipcodes.csv,50065,22.8,89.4,23636,0,0,0,0,4,1,615,620,,,9.2
,project.acs.zipcodes.csv,50066,27.5,98,27500,14,0,0,0,0,0,285,299,,,3.2
,project.acs.zipcodes.csv,50067,6.5,80,29545,0,0,0,0,7,0,218,225,,,1.7
,project.acs.zipcodes.csv,50068,11.6,84.5,,0,0,0,0,35,0,237,272,,,3.6
,project.acs.zipcodes.csv,50069,21.8,92.6,32273,2,0,0,0,30,0,1119,1151,,,6
,project.acs.zipcodes.csv,50070,23.1,92.2,36380,5,14,0,5,4,0,1539,1567,,,5.9
,project.acs.zipcodes.csv,50071,15.5,92.3,26759,0,15,0,0,10,13,871,909,,,5.5
,project.acs.zipcodes.csv,50072,28.4,95.3,37917,45,36,0,0,13,0,2374,2468,,,1.7
,project.acs.zipcodes.csv,50073,22.1,95.4,38088,0,16,0,1,30,3,1070,1120,,,5
,project.acs.zipcodes.csv,50074,24.3,95,30114,0,0,0,0,0,0,432,432,,,4.2
,project.acs.zipcodes.csv,50075,29.7,89.6,31458,4,0,0,0,8,68,771,851,,,0.9
,project.acs.zipcodes.csv,50076,10.1,89.1,27219,0,11,0,0,15,0,1565,1591,,,4.9
,project.acs.zipcodes.csv,50078,1.7,85.2,21250,0,0,0,0,7,0,130,137,,,5.7
,project.acs.zipcodes.csv,50101,41.9,98.4,30882,0,0,0,0,0,0,78,78,,,0
,project.acs.zipcodes.csv,50102,25.3,100,46250,0,0,0,0,0,0,99,99,,,0
,project.acs.zipcodes.csv,50103,21.6,91,24063,6,0,0,0,2,0,391,399,,,4.7
,project.acs.zipcodes.csv,50104,16.9,97.2,24500,0,0,0,0,0,0,105,105,,,14.7
,project.acs.zipcodes.csv,50105,44.1,98.9,40799,17,11,0,0,43,4,1144,1219,,,3
,project.acs.zipcodes.csv,50106,20,91.4,35000,0,0,0,0,0,0,1065,1065,,,6.3
,project.acs.zipcodes.csv,50107,12,92.2,26607,1,0,0,0,6,0,1109,1116,,,10.6
